# Rodrigues et al. UHE neutrino flux from all AGN classes, source
# Enu [GeV], Enu^2*phi_nue [GeV cm^{-2} s^{-1} sr^{-1}], Enu^2*phi_numu, Enu^2*phi_nutau, Enu^2*phi_nuebar, Enu^2*phi_numubar, Enu^2*phi_nutaubar
9.75551564e+04 7.09800632e-11 6.76990421e-11 6.29745280e-11 5.06770491e-11 5.96868337e-11 5.47056189e-11
1.04850996e+05 7.64679447e-11 7.29173133e-11 6.78297768e-11 5.47918595e-11 6.44807887e-11 5.91025411e-11
1.12692467e+05 8.23801332e-11 7.85378166e-11 7.30593641e-11 5.92408808e-11 6.96598511e-11 6.38529272e-11
1.21120378e+05 8.83960099e-11 8.42837393e-11 7.84037119e-11 6.38155298e-11 7.49644996e-11 6.87197208e-11
1.30178585e+05 9.45001749e-11 9.01441703e-11 8.38523992e-11 6.85085100e-11 8.03838459e-11 7.36930758e-11
1.39914227e+05 1.01025898e-10 9.64121181e-11 8.96797727e-11 7.35468678e-11 8.61951314e-11 7.90265242e-11
1.50377966e+05 1.08002295e-10 1.03115922e-10 9.59121531e-11 7.89560403e-11 9.24267144e-11 8.47461507e-11
1.61624255e+05 1.15053053e-10 1.09924741e-10 1.02239769e-10 8.44367918e-11 9.87202395e-11 9.05238514e-11
1.73711617e+05 1.22176892e-10 1.16839582e-10 1.08663399e-10 8.99867906e-11 1.05072086e-10 9.63563583e-11
1.86702956e+05 1.29742028e-10 1.24189562e-10 1.15490777e-10 9.59020050e-11 1.11832887e-10 1.02564924e-10
2.00665875e+05 1.37775808e-10 1.32002072e-10 1.22747289e-10 1.02206495e-10 1.19028991e-10 1.09173813e-10
2.15673036e+05 1.45704944e-10 1.39681012e-10 1.29881978e-10 1.08413133e-10 1.26084101e-10 1.15654973e-10
2.31802535e+05 1.53542944e-10 1.47238222e-10 1.36905935e-10 1.14529978e-10 1.33007827e-10 1.22017205e-10
2.49138308e+05 1.61802605e-10 1.55204323e-10 1.44309764e-10 1.20992570e-10 1.40312159e-10 1.28729828e-10
2.67770568e+05 1.70506611e-10 1.63601438e-10 1.52114011e-10 1.27820487e-10 1.48018043e-10 1.35812163e-10
2.87796275e+05 1.78697338e-10 1.71383390e-10 1.59355050e-10 1.34247059e-10 1.55225040e-10 1.42438769e-10
